Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sub Admin,Chrome 114.0.0.0,,,2023-06-09 09:18:28,2023-06-09 09:19:00,31.942s,PASSED
,,,,,,,
Test Cases/Sub Admin/List,Chrome 114.0.0.0,,,2023-06-09 09:18:29,2023-06-09 09:18:53,23.622s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-09 09:18:30,2023-06-09 09:18:49,19.483s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-09 09:18:49,2023-06-09 09:18:50,0.869s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-09 09:18:50,2023-06-09 09:18:51,0.587s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-09 09:18:51,2023-06-09 09:18:53,1.990s,PASSED
,,,,,,,
Test Cases/Sub Admin/Create,Chrome 114.0.0.0,,,2023-06-09 09:18:53,2023-06-09 09:18:56,3.910s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-09 09:18:53,2023-06-09 09:18:54,0.582s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-09 09:18:54,2023-06-09 09:18:54,0.586s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-09 09:18:54,2023-06-09 09:18:56,2.100s,PASSED
,,,,,,,
Test Cases/Sub Admin/Duplicate IP Logins,Chrome 114.0.0.0,,,2023-06-09 09:18:56,2023-06-09 09:19:00,3.897s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-09 09:18:57,2023-06-09 09:18:58,0.748s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-09 09:18:58,2023-06-09 09:18:59,0.609s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-09 09:18:59,2023-06-09 09:19:00,1.707s,PASSED
